SITE,YEAR,PLOT,DENSITY,ABUNDANCE
1,1,1,26,25
,,,28,64
,,2,17,18
,,,23,13
,,3,37,4
,,,42,29
,2,1,36,64
,,,28,32
,,2,38,25
,,,17,17
,,3,22,14
,,,47,96
,3,1,38,51
,,,25,51
,,2,32,70
,,,27,34
,,3,36,100
,,,15,13
2,1,1,43,39
,,,35,12
,,2,32,71
,,,46,26
,,3,31,63
,,,39,52
,2,1,39,82
,,,48,70
,,2,23,57
,,,43,45
,,3,11,38
,,,18,64
,3,1,46,6
,,,16,15
,,2,24,88
,,,30,21
,,3,23,22
,,,31,12
3,1,1,16,37
,,,34,52
,,2,22,80
,,,23,17
,,3,45,8
,,,48,99
,2,1,23,40
,,,36,74
,,2,19,19
,,,39,92
,,3,45,55
,,,24,60
,3,1,47,69
,,,19,65
,,2,32,89
,,,21,71
,,3,13,6
,,,34,52
4,1,1,21,15
,,,20,23
,,2,54,17
,,,62,15
,,3,35,20
,,,24,13
,2,1,28,17
,,,21,18
,,2,42,23
,,,37,17
,,3,24,22
,,,24,20
,3,1,26,21
,,,21,16
,,2,59,21
,,,64,22
,,3,14,17
,,,45,19
5,1,1,61,15
,,,38,16
,,2,57,17
,,,18,15
,,3,59,18
,,,40,19
,2,1,52,19
,,,34,23
,,2,27,21
,,,10,17
,,3,43,23
,,,36,22
,3,1,52,17
,,,24,19
,,2,24,16
,,,19,23
,,3,49,13
,,,60,13
6,1,1,44,15
,,,20,23
,,2,59,17
,,,66,19
,,3,63,14
,,,26,13
,2,1,25,14
,,,52,22
,,2,65,17
,,,67,17
,,3,13,22
,,,21,16
,3,1,26,13
,,,42,23
,,2,45,17
,,,18,16
,,3,13,22
7,1,1,20,22
,,,48,14
,,2,49,15
,,,46,15
,,3,29,13
,,,28,14
,2,1,43,21
,,,16,21
,,2,40,22
,,,25,20
,,3,39,16
,,,66,15
,3,1,48,18
,,,11,13
,,2,63,22
,,,55,14
,,3,38,23
,,,70,21
8,1,1,58,19
,,,33,18
,,2,40,23
,,,61,13
,,3,32,19
,,,39,21
,2,1,24,23
,,,24,15
,,2,54,23
,,,16,20
,,3,37,13
,,,49,19
,3,1,18,16
,,,22,15
,,2,64,14
,,,61,13
,,3,59,21
,,,39,16
9,1,1,27,15
,,,47,20
,,2,15,16
,,,28,16
,,3,55,16
,,,35,21
,2,1,57,22
,,,64,16
,,2,13,18
,,,61,17
,,3,65,13
,,,28,18
,3,1,30,15
,,,51,20
,,2,69,15
,,,18,20
,,3,13,15
10,1,1,44,22
,,,54,13
,,2,30,22
,,,57,13
,,3,51,20
,,,11,20
,2,1,10,21
,,,48,18
,,2,59,17
,,,10,19
,,3,19,19
,,,49,19
,3,1,30,13
,,,43,13
,,2,49,22
,,,70,16
,,3,64,18
,,,20,16
11,1,1,40,18
,,,21,17
,,2,53,21
,,,65,22
,,3,56,23
,,,49,20
,2,1,57,16
,,,16,16
,,2,15,23
,,,40,19
,,3,42,19
,,,68,22
,3,1,20,14
,,,36,17
,,2,39,23
,,,44,14
,,3,62,14
,,,65,21
12,1,1,57,19
,,,27,13
,,2,54,22
,,,40,15
,,3,48,16
,,,35,22
,2,1,28,18
,,,10,23
,,2,17,23
,,,26,20
,,3,21,14
,,,65,23
,3,1,21,14
,,,59,20
,,2,59,21
,,,27,22
,,3,56,20
,,,30,22
